title	creator	publisher	language	ncid	edition	publicationDate	note	subject
司法書士[項目別]択一過去問		法学書院	jpn	BA65799723				
視る : 阪神・淡路大震災の人と街	「視る」編集委員会企画・製作	[兵庫機関紙宣伝センター]	jpn	BA65868702		[2004.1]	25分	NDC8:369.31
体験活動を重視した「みどりの時間」の展開	鹿児島大学教育学部附属小学校編	鹿児島大学教育学部附属小学校	jpn	BA65882984		1977.11		
酒井式「友だちの顔」の描かせ方	酒井式描画法札幌支部著	明治図書出版	jpn	BA65916689		2000.4	監修: 酒井臣吾	NDC9:375.72
太閤記		[出版者不明]	jpn	BA65920336		[出版年不明]	保存状態: 表紙裏表紙破損, 汚損, くたびれ,題簽にはがれあり	
計画の作成・実施	白澤政和監修	中央法規	jpn	BA65923629		[出版年不明]	制作: 佐賀由彦事務所	
iViva! Barcelona : 第25回オリンピック競技大会バルセロナ写真集	フォート・キシモト [撮影]	日本文化出版	jpn	BA65951963		1992.10	日本オリンピック委員会公認	
商業統計調査用五十音別商品索引表	通商産業大臣官房調査統計部商業統計課編	通産統計協会	jpn	BA66072276		1982.3		NDC8:675.1
唐詩選辯蒙	宇成之著	小林新兵衛 : 嵩山房	jpn	BA6612038X		寛政2 [1790]	和漢古書につき記述対象資料毎に書誌作成	NDC9:921.43
吉野町管内図 [地図資料]	吉野町[作成]	[出版者不明]	jpn	BA66134114		[1975.5]	縮尺: 1:25,000	NDC9:291.65
マルチベンダーネットワーク管理 : 混在環境におけるネットワーク管理の実際	ジョン・エンク, ダン・W・ブラカースキー著 ; キット訳	プレンティスホール出版	jpn	BA33395236		1997.11	Managing multivendor networks.の翻訳	NDC8:547.48
親子でつくる元気のでるキッチンガーデン : 無農薬・有機コンテナ栽培	小宮山洋夫著	小峰書店	jpn	BA33398529		1997.6		
日本女性秘話	二反長半著	布井書房	jpn	BA33464215		1971.6	付:年表 p232-237	NDC6:367.21
鹿児島県広域道路地図 : 便利で見やすい--メッシュ方式		福岡人文社	jpn	BA33474649		1997.7	左右同一頁付	NDC8:291.038
ふらんす大革命	小牧近江著	黄土社	jpn	BA33488701		1949	巻末: 索引	NDC6:235.061
羽越本線の90年 : 羽越本線と白新線の歴史とロマンを初めて集成		郷土出版社	jpn	BA33540335	保存版	1997.10	監修:瀬古龍雄	NDC8:686.214
ライプニッツ	永井博著	勁草書房	jpn	BA33564821		1997.11	ライプニッツの肖像あり	NDC8:134.1
知ってるようで知らなかった薬の飲み方	太田政孝著	データハウス	jpn	BA33571962		1997.6	監修:栗原源博	NDC8:499.1
上の平遺跡第6次調査・東山北遺跡第4次調査・銚子塚古墳南東部試掘 : 甲斐風土記の丘・曽根丘陵公園	山梨県埋蔵文化財センター編	山梨県教育委員会	jpn	BA33633800		1994.3	表紙の叢書名: 山梨県埋蔵文化財センター調査報告書	NDC8:210.2
バフチンを読む	阿部軍治編著	日本放送出版協会	jpn	BA3377178X		1997.12	参考文献: p291-297	NDC8:901.4
南國	大野恭平, 佐藤四郎共著	大野恭平 : 佐藤四郎	jpn	BA33775281		1915.10		
なんきょくへいったしろ	瀬田貞二作 ; 寺島竜一画	福音館書店, 1989.10	jpn	BA33792655	復刻版			
古代より中世を通じ江戸時代まで		佐伯町	jpn	BA33823067		1959.5	謄写版	NDC6:217.6
上代に於ける日本書紀講究	太田晶二郎著	[出版社不明]	jpn	BA33830007		[発行年不明]	本邦史学史論叢抜刷	
日本の紙幣	朝日新聞社編	朝日新聞社	jpn	BA33864927		1959.5		
かぶき大名	海音寺潮五郎著	講談社	jpn	BA33909592		1972.6	内容:かぶき大名,三代数奇伝,剛兵,昼の月,白日夢,室の梅ケ枝,遥州畸人伝	NDC6:913.6
自転車卸賣業実態調査報告書		日本自轉車製造卸協同組合連合会	jpn	BA33926966		[1958.5]	謄写版 普及版	NDC6:537.8
杭上家屋の研究	宮坂光次著	明治聖徳記念學會	jpn	BA33933906		1927.7		
大衆文藝評判記	三田村鳶魚著	汎文社	jpn	BA34054219		1933.11		
足の裏からみた体 : 脳と足の裏は直結している	野田雄二著	講談社	jpn	BA34068472		1998.1	参考文献: p174-176	NDC8:491.36
日本神話伝説の研究	高木敏雄著 ; 大林太良編	平凡社	jpn	BA66165741	増訂	2003.9	復刻	NDC8:164.1
ひと目でわかる土地評価の実務	芳賀則人著	六法出版社	jpn	BA66172882	2訂版	1999.8		NDC9:673.99
鉱業人名簿		鉱業出版社	jpn	BA66203294	改訂版	1959-		NDC6:569.035
行政書士になるには	三田達治, 浅野恵子著	ぺりかん社	jpn	BA66234720	初版第2刷	2002.2	奥付に「重版の際、最新の情報をもとに、データを更新」とあり	NDC8:327.17
異端者の悲み	谷崎潤一郎著	阿蘭陀書房	jpn	BA66241861		1917.9	箱入	NDC8:913.6
岐路に立つ人文科学 = Humanities at the crossroad	鷲田清一[ほか]編	大阪大学21世紀COEプログラム「インターフェイスの人文学」	jpnenggervie	BA6629658X		2003.12		
造形・デザイン教育の展開 : 千葉大学ひとづくり・ものづくり一三〇年		千葉県立美術館	jpn	BA66379494		2003.11	主要参考文献 p.69	
小児救急	市川光太郎編集	中山書店	jpn	BA66390282		2004.3	監修:柳沢正義	NLM:WS200
質的調査の実際と研究評価		放送大学教育振興会	jpn	BA66396868		[2002]	'02制作	
臺灣の柑橘産業	臺灣總督府殖産局特産課 [編]	臺灣總督府殖産局特産課	jpn	BA66445180		1932.10	タイトルは表紙による	
工作機械設計の要素	恒川潔訳	川崎造船所	jpn	BA66448473		1920.8	発行者:和田規矩夫	
日蓮宗不受不施派の研究	影山尭雄編	立正大学仏教学会	jpn	BA66458706		1956	***記述は遡及データによる	NDC8:188.92
三河郷土叢書		三河郷土叢書刊行會	jpn	BA66517452				
アメリカ合衆国の私学助成方策	日本私学振興財団米加私学助成視察団 [編]	日本私学振興財団	jpn	BA66524593		1974	***記述は遡及データによる	
泰山木 : 大寺喜久子句集	大寺喜久子著	卯辰山文庫	jpn	BA66541967		2001.12		NDC8:911.368
農林水産省土地改良工事標準積算基準	農林水産省構造改善局設計課	土地改良技術情報センター	jpn	BA66603805		1987	***記述は遡及データによる	
豊岡市岩井枯木遺跡群 : ごみ最終処分場建設にかかる埋蔵文化財発掘調査報告書	豊岡市出土文化財管理センター編集	豊岡市教育委員会	jpn	BA66683247		2000.3	巻頭図版4枚, 図版55枚	
初めて學ぶローマ字の獨習	先進研究會編述	先進堂書店	jpn	BA34082553		1930		
どんな時どう使う日本語表現文型500短文完成練習帳 : 中・上級	友松悦子 [ほか] 著	アルク	jpn	BA34137451		1997.7	日本語能力試験1・2級対応	NDC8:810.7
北海道帝國大學農學部附屬小作農場事業概要 : 成墾二十五年記念出版	北海道帝國大學農學部附屬農場編	北海道帝国大学農学部附属農場	jpn	BA34147885		1936.11		
新會社員學	伊藤重治郎	実業之日本社	jpn	BA34209723		1930.3		
新しい論文問題への合格戦略 : 校長・教頭・指導主事試験 最近出題106問の解答と解説	平井文雄著	教育開発研究所	jpn	BA34213571		1996.2		
プラトンの呪縛 : 二十世紀の哲学と政治	佐々木毅著	講談社	jpn	BA34220511		1998.1		NDC8:311.23
調律の帝国	見沢知廉著	新潮社	jpn	BA34223804		1997.12		NDC8:913.6
神々の考古学	大和岩雄著	大和書房	jpn	BA34299599		1998.2	引用図版・写真出典一覧: p397-400	NDC8:209.3
基本海事法規	福井淡著	海文堂出版	jpn	BA34368578	7版	1995.5		
歴史を塗りかえた英傑100人百話 : ミステリー意外史!!		ベストセラーズ	jpn	BA34437557		1992.3	監修:樋口清之 執筆:松尾光ほか	NDC8:281.04
相模拾遺風土記	堀江織部編	堀江織部	jpn	BA34472831		1915.6	編者の読みは推定	
西洋家屋構造	吉田全三著	吉田工務所出版部	jpn	BA34534870		1928.3		
ホームステイ入門日記 : その生活と心	山崎正博著	日本図書刊行会	jpn	BA34541810		1997.11		NDC8:916
栃木県の人口	総務庁統計局編集	総務庁統計局	jpn	BA34689877		1997.12	付:市町村境界図(1枚)	NDC8:358.1
太陽の巫女	笙野頼子著	文藝春秋	jpn	BA34696817		1997.12		NDC8:913.6
河川及運河	山田陽清著	誠文堂 : 工學全集刊行會	jpn	BA34727229		1931.9	著者小伝あり	
ユニットケア導入のための施設改修の手引 : 既存特別養護老人ホームでのユニットケア導入のための改修モデルに関する調査研究	日本医療福祉建築協会編	高齢者痴呆介護研究・研修東京センター	jpn	BA66690388		2004.3		NDC8:526.36
日本 : 江戸前寿司	谷川彰英監修	ポプラ社	jpn	BA6671727X		2001.4		NDC9:596
日教組第17次・日高教第14次教育研究全国集会報告書		日本教職員組合	jpn	BA66752226		1968	***記述は遡及データによる	
生活改善グループの診断 : 診断方法と普及指導への活用	中国農業試験場農業経営部 [編]	中国農業試験場農業経営部	jpn	BA66755519		1985.6		NDC8:611.98
郷土史夜話	川崎浩良著	誌趣会	jpn	BA66776712		1952.12-		NDC6:212.5
経営戦略入門	雑賀憲彦著	西日本法規出版	jpn	BA66807124		2004.4	参考文献: p221-222	NDC8:336.1
週末起業チュートリアル	藤井孝一著	筑摩書房	jpn	BA66821205		2004.5		NDC8:335
臨時行政調査会と行政改革の方向	臨時行政調査会準備室 [編]	臨時行政調査会準備室	jpn	BA66838751		1981.2		
玄米飯と生活戦争 : 戦時下の玄米飯の炊き方	守屋磐村著	泉書房	jpn	BA66852832		1943		NDC6:596
概報・鷹山遺跡群 : 長野県小県郡長門町鷹山遺跡群調査概報	鷹山遺跡群調査団編	長門町教育委員会	jpneng	BA66900618		1999.3-	副書名は表紙による	NDC8:210.2
發電所に就て	須山正躬述	工場研究会	jpn	BA66921811		[1932]	p1に「發電所に就て」(水力及火力發電所に就て)とあり	
沖繩空路の女	石野径一郎著	東邦出版社	jpn	BA6696959X		1971.11		NDC6:913.6
概説日本美術史	菅沼貞三 [著]	慶應通信教育図書	jpn	BA66987172		1950-	***記述は遡及データによる	
ルオーとイコン : 描かれた聖像	後藤新治, 鐸木道剛, 高橋保行執筆	松下電工NAISミュージアム	jpn	BA67028043		c2004	展覧会カタログ	NDC7:702.099
貸切風呂のある宿&日帰り温泉 : 家族で遊ぶ夫婦で浸かる恋人と浴びる友達とはしゃぐ		日本出版社	jpn	BA67035184		2003.9		NDC8:291.09
護摩私首次第		東寺真言宗出版部	jpn	BA67045417		2002.10	監修: 藤原義章	
風と氷河の大地 : パタゴニア、フォークランド		NHKソフトウェア	jpn	BA67052558		[199-]	協力: NHK, 制作協力: オフィス・ラフト	
金城次郎陶器作品集 : 沖縄の名匠		沖縄タイムス社	jpn	BA67073751		1979.10	「陶芸界の巨匠 金城次郎作陶顕彰展」	
手紙		河出書房新社	jpn	BA34731077		1984.7	手紙に関する主要参考文献:p225〜238	NDC8:816.6
印紙税がわかる本		税務経理協会	jpn	BA34752270	3訂版	1997.9	監修:木村剛志	NDC8:345.63
1さいの本&3さいの本		講談社	jpn	BA34762503				
經史説林	研經會編著	元元堂書房	jpn	BA34817401		1907.9		NDC6:123
出発のためのメモランダム	江田五月著	毎日新聞社	jpn	BA34903955	新装改訂版	1996.9	著者の肖像あり	NDC9:289.1
吉田茂 : 国家新生の胎動		宰相制作プロジェクト	jpn	BA3494824X		1994	昭和23年-昭和29年(1948年-1954年)	NDC8:210.76
「流通業」デジタル情報ネットワーキング : 製配販	水尾順一編著	産能大学出版部	jpn	BA34979549		1998.2	参考文献: 各章末	NDC8:675.4
柿崎地域の地質	竹内圭史, 吉村尚久, 加藤碵一[著]	地質調査所	jpn	BA35031208		1996.11	付(地質図1枚)	
ザ・サークル	スティーヴ・シャガン著 ; 篠原慎訳	角川書店	jpn	BA35124874		1984.7		NDC8:933
雨月物語詳解	[上田秋成原作] ; 山田武司著	大同館	jpn	BA35290669		1930.10		NDC8:913.56
三世歌川豊国展目録 : 特別展示		江戸川区郷土資料室	jpn	BA35342274		[1970]	会期: 昭和45年10月1日-31日	NDC8:721.8
肺癌細胞性チロシン特異的燐酸化とリンパ節転移に対する繊維芽細胞の役割	研究代表者今泉宗久	[出版者不明]	jpneng	BA35345567		1997.3	研究課題番号:06671335	
小学保健ニュース・心の健康ニュース : 縮刷活用版	少年写真新聞社編集	少年写真新聞社	jpn	BA67111103		2004.2-	2017以降はタイトル相違のため別書誌<BB26686156>	NDC8:374.9
ギルバート漁業開発事前調査報告書		国際協力事業団	jpn	BA67135790		1978.3	***遡及データをもとにした流用入力である	NDC8:662.745
複雑系に対するセルオートマトン計算環境の開発とその応用  : 平成15年度学位論文 (博士) = The development and applications of computational environment using cellular automata for complex systems/ 赤嶺有平[著]		琉球大学大学院 理工学研究科	jpn	BA67284010		2004	参考文献: p89-90	
コーポレート・ガバナンスと資本市場	濱村章編著	税務経理協会	jpn	BA67328149		2004.5	主要参考・引用文献: 章末	NDC8:335.4
栄養教育・指導 : 実習・実験	八倉巻和子編著	光生館	jpn	BA6733870X		2004.4	その他の共著者: 相川りゑ子, 名倉千恵子, 中西靖子, 彦坂令子, 田村朝子, 韓順子, 須藤紀子, 北島裕子	NDC9:498.55
体操詩集	村野四郎著	日本図書センター	jpn	BA67380998		2004.3	文献あり	NDC9:911.56
元気になれそう : 映画「魔女の宅急便」より	宮崎駿詩 ; 近藤勝也 [ほか] 絵	徳間書店	jpn	BA67418321		1989.8		
中小企業再生の実務 : リレバン実践応用のために	小池政弘, 井上大文著	金融財政事情研究会	jpn	BA67501582		2004.6	参考文献: p245	NDC8:338.63
新居浜工業高等専門学校20年のあゆみ		新居浜工業高等専門学校「20年のあゆみ」編纂委員会	jpn	BA6762528X		1982.10		NDC9:377.3
統合失調症(精神分裂病) : 研究・医療の動向を探る		日本精神保健福祉連盟	jpn	BA67639014		2003.6	日本精神保健福祉連盟50周年大会記録	
東寺百合文書にみる日本の中世	京都府立総合資料館編	京都新聞社	jpn	BA35380841		1998.3	東寺百合文書関係論文目録: p[299]-359	NDC8:210.4
天明四甲辰暦		瀬川舎人	jpn	BA35404112		天明3 [1783]	標題は題簽による	NDLC:MB96
欠陥だらけの介護保険	伊藤周平著	かもがわ出版	jpn	BA35411253		1998.2		NDC9:364.4
近世浅草寺の経済構造	長島憲子著	岩田書院	jpn	BA35414546		1998.1		NDC8:188.45
九州方言四段・變格活用動詞分布相	吉町義雄著	[出版社不明]	jpn	BA35442880		1938.6	「文学研究」第23輯,春日博士還暦記念「日本文学特輯」抜刷	
安元亮祐展 : 昭和会賞受賞記念	日動画廊制作	日動画廊	jpn	BA35584160		1995	展覧会カタログ	
Angry women		第三書館	jpn	BA35591100		1995-		
労働法 : エッセンシャル	清正寛, 菊池高志編	有斐閣	jpn	BA35597887		1998.4		NDC8:366.14
巣立ち	大原富枝著	毎日新聞社	jpn	BA35660280		1983.2		NDC8:914.6
英米文学あらかると : 写真に見る人と所	福田陸太郎著	開隆堂出版	jpn	BA35663573		1993.9	月刊誌『高英ニュース』1998年4月号-1993年2月号までの巻頭言	
Fortran90 : 入門編	小暮仁著	産業図書	jpn	BA3572191X		1998.4		NDC8:007.64
生活と美術	木村荘八著	洛陽堂	jpn	BA35732552		1921.11		
山 : 行動と思索の間	伊吹岳志著	伊藤純夫	jpn	BA35801531		1973.6	著者の肖像あり	
淺草寺日記		金龍山浅草寺	jpn	BA35804824		1978-	第1巻:自寛保4年 至宝暦3年. 第2巻:自宝暦4年 至宝暦11年. 第3巻:自宝暦12年 至安永元年. 第4巻:自安永2年 至天明3年. 第5巻:自天明4年 至天明7年. 第6巻:自天明8年 至寛政4年. 第7巻:自寛政5年 至寛政8年. 第8巻:自寛政9年 至寛政11年. 第9巻:自寛政12年 至享和2年. 第10巻:自享和3年 至文化2年. 第11巻:自文化3年 至文化6年. 第12巻:自文化7年 至文化11年. 第13巻:自文化12年 至文化14年. 第14巻:自文化15年 至文政4年. 第15巻:自文政5年 至文政7年. 第16巻:自文政8年 至文政9年. 第17巻:自文政10年 至文政11年. 第18巻:自文政12年 至天保2年. 第19巻:自天保3年 至天保5年. 第20巻: 自天保6年 至天保7年. 第21巻: 自天保8年 至天保9年. 第22巻: 自天保10年 至天保11年. 第23巻: 自天保12年 至弘化2年. 第24巻: 自弘化3年 至嘉永3年. 第25巻: 自嘉永4年 至嘉永7年. 第26巻: 自安政2年 至安政3年. 第27巻: 自安政4年 至安政5年. 第28巻: 安政6年. 第29巻: 万延元年. 第30巻: 文久元年. 第31巻: 文久2年. 第32巻: 文久3年. 第33巻: 元治元年. 第34巻: 慶応元年. 第35巻: 慶応2年. 第36巻: 慶応3年. 第37巻: 自明治元年 至明治2年. 第38巻: 至明治2年.	NDC8:188.45
一つしかない本当のダイエット : イラストですぐわかる	加藤哲也著	主婦の友社	jpn	BA35877125		1997.3		NDC9:595.6
楽しく踊り豊かに表現するダンスの授業	中学校体育・スポーツ教育実践講座刊行会編	ニチブン	jpn	BA35884266		1998.2	付: 引用, 参考文献	NDC8:375.493
インフレ収束の自然的過程	経済復興計画委員会事務局[編]	経済復興計画委員会事務局	jpn	BA35949598		1948.11	謄写版印刷	
全人的大学英語教育	田辺寛著	鳥影社	jpn	BA35956538		1998.4		NDC8:830.7
宮本三七郎先生追想録	宮本三七郎先生追想録刊行委員会編	宮本三七郎先生追想録刊行委員会	jpn	BA35963679		1973.3	宮本三七郎の肖像あり	NDC8:289.1
P13キナーゼの免疫系における機能の解析	研究代表者 鈴木春巳	[山口大学医学部]	jpn	BA67677782		2003.3	研究課題番号:13670322	
細胞の酸化ストレス応答並びに個体発生における転写伸長因子S-IIの機能	研究代表者 関水和久	関水和久	jpneng	BA67708194		2004.5	研究分担者:伊藤貴浩、秋光信佳	
盲導犬ボランティアは楽しい! : 犬バカおじさん奮闘記	伊藤雄著 ; 石黒謙吾構成	二見書房	jpn	BA67822881		2004.7	出版年月はジャケットカバーによる	NDC8:369.27
西益津中学校屋内運動場建設に伴う二ノ丸地区の調査	藤枝市埋蔵文化財調査事務所編	藤枝市教育委員会	jpn	BA67974595		1980.3	付: 参考文献	
ITセキュリティエンジニアリング	片方善治監修	フジ・テクノシステム	jpn	BA67977888		2004.7		NDC8:007.6
ジェンダーと人権ワークブック	アジア女性資料センター人権ワークブック作成委員会 [ほか編]	アジア女性資料センター	jpn	BA68005032		2004.4		NDC9:367.1
地下環境での多相流と輸送現象 : 現象理解の基礎から数値解析まで	ライナー・ヘルミック著 ; 小林健一郎訳	シュプリンガー・フェアラーク東京	jpn	BA68008325		2004.7	監訳: 平田健正, 樫山和男	NDC8:519.5
エス・ボナールの罪	フランス著 ; 岡野馨訳	ゆまに書房	jpn	BA68022406	オンデマンド版	[2004]	原本: 春陽堂 昭和7年8月刊	NDC8:908
椿姫 : 愛に散った花	デュマ・フィス原作 ; わたなべまさこ筆	双葉社	jpn	BA68039952		2002.6		NDC9:726.1
逆境のなかの記録	土本典昭著	未來社	jpn	BA68108931		2004.7	付=シナリオ 『医学としての水俣病・三部作』『不知火海』	NDC8:778.7
天然記念物平松のウツクシマツ自生地保護増殖事業報告書	甲西町教育委員会編	甲西町教育委員会	jpn	BA36001257		[1980-]	折り込1枚	NDC9:653.6
幸福な王子 ; 親友 : 他三篇 = The happy prince and other tales	Oscar Wilde[著] ; 西田実訳注	英宝社	jpneng	BA36025743		1958.8	記述は13刷(1986.8)による	NDC7:837.7
滿洲聖人達海の碑	山下泰藏	[奉天図書館]	jpn	BA36098044		1933		
《春と修羅第二集》逐次形本文集成稿	伊藤眞一郎編	安田女子大学言語文化研究所	jpn	BA36101863		1997.3		NDC8:911.56
戦争と平和のはざまで : 相思樹会の軌跡	ひめゆり同窓会相思樹会[編]	ひめゆり同窓会相思樹会	jpn	BA36177457		1998.6		NDC8:916
ホンネを言う人隠す人 : 自己を見失わないための37の人間心理	山崎武也著	大和出版	jpn	BA36184598		1997.12		NDC8:336.4
石油産業にみる中国の自力更生 : 付録・油田と製油所	篠田信男著	朝日新聞社調査研究室	jpn	BA36229062		1966.12		NDC6:304
山梨県芦安村を中心とした言語調査報告	秋永一枝編	[秋永一枝]	jpn	BA36236002		1996.3	文献: p195-198	NDC8:818.51
アムンゼン	池田林儀著	報知新聞社出版部	jpn	BA36249729		1927.5		
急冷凝固アルミニウム合金材料の製造と材料特性		軽金属学会	jpn	BA36260517		1995.4	第47回シンポジウム, 1995年4月28日(金)	NDC8:565.52
法學通論	中村進午著	三書樓	jpn	BA36274770		1910.3		
1ねん1くみ1ばんひみつ!	後藤竜二作 ; 長谷川知子絵	ポプラ社	jpn	BA36281710		1997.10		
教養のための天文学講義	米山忠興著	丸善	jpn	BA36312122		1998.5	さらに天文学を勉強したい人のための参考書: p207	NDC8:440
血みどろ砂絵 : なめくじ長屋捕物さわぎ : 連作時代本格推理	都筑道夫〔著〕	光文社	jpn	BA36315415		1997.6		NDC9:913.6
最近地質時代の地球環境	IGCP国内委員会[ほか][編]	IGCP国内委員会	jpn	BA36322556		1997	特別シンポジウム: 日時:平成9年2月15日(土). 16日(日) 場所: 神戸大学瀧川記念学術交流会館	
京都の物流トラック白書		立命館大学経営学部土居ゼミナール	jpn	BA36350890		1994.2	電子複写	
滿洲に於ける日本の地位	千葉豐治著	滿洲文化協會	jpn	BA36488322		1932.3		NDC9:601.225
「二十四の瞳」をつくった壺井栄 : 壺井栄人と作品	西沢正太郎著	ゆまに書房	jpn	BA36492170		1998.6	「壺井栄 人と作品」(1980年10月・清水書院刊)が底本	NDC8:910.268
日本の教育につくした人々	山口俊治	東西文明社	jpn	BA36529168		1956.5		
陸上競技	織田幹雄著	旺文社	jpn	BA36543249	重版	[1974]	はしがきに重版に際し本文の一部を訂正した(1974.6)との記載あり	NDC8:782
消費者問題と消費者保護	中京大学社会科学研究所プロジェクト「消費者問題と消費者被害救済の研究」編	成文堂	jpn	BA68236159		2004.3	非売品. 流通品は<BA67463971>	NDC8:365
学校法人ハンドブック : 設立・会計・税務のすべて	実藤秀志著	税務経理協会	jpn	BA6823977X	改訂版2刷	2004.7	参考文献: p138	
播磨めくりの紀	田原相常記	田原屋平兵衛 : 藤屋彌兵衛 : 栢原屋与左衛門	jpn	BA68271433		明和9 [1772]	和古書(明治より前に刊行された図書)につき記述対象資料毎に書誌作成	
空色水曜日	谷村志穂著	角川書店北海道	jpn	BA68274726		2004.6		NDC8:915.6
食物 : 学習指導の研究	[伊藤央子ほか著]	教育図書	jpn	BA68319391		[1995]	準拠する教科書の検定年月日: 平成6年2月28日 (文部省検定済教科書 高等学校家庭科用)	
バイポーラIC		新日本無線	jpn	BA6832283X		1986.3		NDC8:549.7
ちゅらさん : 完全版	岡田惠和作 ; NHK編集	NHKソフトウェア	jpn	BA68405744	完全版	2003.9	企画協力: NHKエンタープライズ21	NDC8:778.8
21世紀の戦争 : 「世界化」の憂鬱な顔	イグナシオ・ラモネ著 ; 井上輝夫訳	以文社	jpn	BA68412885		2004.7		NDC8:319
ハイパーソニックへの夢		コロムビアミュージックエンタテインメント (発売)	engjpn	BA6846411X		2003.7	1998年作品	
勝平得之初期作品集	勝平得之 [著]	叢園社	jpn	BA68478045		1972	***記述は遡及データによる	
京都賀茂の旧社家等伝来資料に関する調査と研究成果報告書	所功研究代表者	[京都産業大学]	jpn	BA68488479		2000.3	研究課題番号: 09410096	
感染症	竹田美文, 木村哲編集	朝倉書店	jpn	BA6853329X		2004.9	文献あり	NDC8:493.8
学問と信仰 : 一法学者の省察	ホセ・ヨンパルト著	創文社	jpn	BA68564599		2004.8	2003年10月28日-30日に行われた長崎純心大学キリスト教文化研究所主催の連続講演	NDC8:321.1
人間の視覚特性を利用した遠隔操縦用ヒューマンインタフェースの実用化	研究代表者 志堂寺和則	[九州大学]	jpneng	BA68571539		2004.1		
村落研究の動向	東北社会学会編	東北社会学会	jpn	BA68578651		1983	***記述は遡及データによる	
鶏卵の研究 : 鶏卵全講	千島喜久男著	千島喜久男全集刊行会	jpn	BA36567735		1971.10	理論実際鶏卵用講(養賢堂 , 1933)の複製	NDC6:460.8
一年有半と舊式の唯物論	高橋五郎著	一二三舘	jpn	BA36626481	増補3版	1901.12		
鉄筋工事の実際 : 図法・基準・積算・施行	山片三郎著	学芸出版社	jpn	BA36629774		1969.11		NDC6:525.52
二十年来經濟世界之景況	田尻稲次郎著	専修學校	jpn	BA36650996		[1892.3]	理財科講義第16號附録	NDC6:330
応用2進木解析法 : CARTによる	大滝厚, 堀江宥治, Dan Steinberg著	日科技連出版社	jpn	BA3676426X		1998.7	文献: p[254]-270	NDC8:417
Weinsberg	吉田卓, Angelika Werner[著]	朝日出版社	gerjpn	BA3677120X		1998.4		
変容する現代社会とスポーツ	日本スポーツ社会学会編	世界思想社	jpn	BA36785135		1998.8	内容: まえがき: スポーツの両義性とわれわれの決断, 第I部: 変容する世界とスポーツ文化(概説, 1「日本から」-4「フランスから」), 第II部: スポーツと権力(概説, 1「スポーツ文化の社会学」-5「象徴的分析の可能性と限界」), 第III部: サッカーW杯が変えるアジア アジア初のW杯をめぐって(概説, 1「ワールドカップ共催と韓国社会」-4「グローバリゼーションの中のフットボール」), 第IV部: 近代国民国家とスポーツ(概説, 1「近代国民国家とスポーツ」-4「近代日本におけるスポーツと武道」), 参考文献一覧, 謝辞(宮内孝知), 日本スポーツ社会学会の概要	NDC8:780.4
西洋好事本展覧會目録		丸善	jpn	BA36892882		1937		NDC6:027.8
東亜同文会史論考	[霞山会編]	霞山会	jpn	BA36909012		1998.6	霞山会創立50周年記念出版	NDC8:222.006
改正外為法の実務 : 事後報告・資料情報制度の詳説	高月昭年著	金融財政事情研究会	jpn	BA36926587		1998.6		NDC8:338.95
フレーベル教育学の研究	岩崎次男 [著]	[岩崎次男]	jpn	BA36930234				
病害虫防除指導指針	滋賀県農林部編	滋賀県農林部	jpn	BA37068093		1982	***記述は遡及データによる	
東京都管内公私社會福祉事業施設一覽	東京都民生局 [編]	東京都民生局	jpn	BA37082174	謄写版	1951.6		
君や来し : 三井葉子詩集	三井葉子著	海風社	jpn	BA3712643X		1981.11	***遡及データをもとにした流用入力である	NDC8:911.56
AccessプログラミングTipsポケットリファレンス	ガリバー著	技術評論社	jpn	BA68592732		2004.8		NDC8:007.64
詳解2級建築士過去7年問題集	コンデックス情報研究所編著	成美堂出版	jpn	BA68661711		2004.2-	2004年版: 別冊付録:解答・解説編(159p)	NDC8:520.79
御觸書写		[書写者不明]	jpn	BA68723750		[18--]	和漢古書につき記述対象資料毎に書誌レコード作成	
わたしたちのまち・黍田 : 小野市立好古館平成16年度特別展 : 平成16年度文化庁芸術拠点形成事業	小野市立好古館編	小野市立好古館	jpn	BA68796051		2004.6	会期・会場: 平成16年6月19日―7月19日, 黍田地区研修集会施設	NDLC:Y121
大野村	大日本帝國陸地測量部	岡田榮助[ほか]	jpn	BA68951584		1892.9	地図資料: 1:20,000	
図説豊後刀	山田正任著	雄山閣出版	jpn	BA69158221		1974.4	豊後刀鍛冶名一覧: p427-454	NDC6:756.6
はじめてのキッチンガーデン : 楽しく育てておいしく食べる	千成真奈美[著]	SSコミュニケーションズ	jpn	BA69168655		2004.3	ISBNはカバーによる	NDC8:626.9
ボール物理化学	David W. Ball著 ; 阿竹徹 [ほか] 訳	化学同人	jpn	BA69244775		2004.10-2005.3	監訳: 田中一義, 阿竹徹	NDC8:431
日本人が知らないアメリカひとり勝ち戦略 : 日米安保は終焉する	日高義樹著	PHP研究所	jpn	BA6929600X		2004.10		NDC8:319.53
海峽殖民地概覽	外務省通商局[編]	外務省通商局	jpn	BA69309906		1918.8		
広陵消防 : 自治体消防三十周年消防庁長官表彰受賞記念	広陵町, 広陵町消防団企画・編集	[広陵町 : 広陵町消防団]	jpn	BA69310461		1978.3	主に図版	
越後福嶋城圖	鹿伏兎重好圖	[製作者不明]	jpn	BA69313754		[1---]	稀覯本につき記述対象資料毎に書誌作成	
