title	creator	publisher	language	ncid	edition	publicationDate	note	subject
コンベヤ	真島卯太郎 [著]	日刊工業新聞社	jpn	BN11486715		1960.7	参考文献: p104	
新説學校管理法	槙山榮次,小山忠雄著	同文舘	jpn	BN11490563		1899.3		NDC6:374
箱館開港とペリーの足跡 : 日米関係の原点を探る	市立函館博物館編	市立函館博物館	jpn	BN11517127		1992.4	展覧会カタログ	NDC8:210.5953
掘り出された沼津の原始・古代	沼津市歴史民俗資料館編	沼津市歴史民俗資料館	jpn	BN11524268		1994.6	展覧会カタログ	NDC8:210.2
リースの知識	宮内義彦著	日本経済新聞社	jpn	BN11531208	16版[新版]	1976.11	遡及データをもとにした流用入力	NDC6:673.99
「藤原惠文庫」目録	朝日新聞大阪本社調査部[編]	朝日新聞大阪本社調査部	jpn	BN11538320		[1945]		NDC6:027
神癒	アンドリュー・マーレー著 ; 中田重治譯	東洋宣教會出版部	jpn	BN1154196X		1923.6		
北畠太平記 : 南朝の大義に生きた一族と家臣団	横山高治著	創元社	jpn	BN11545461		1986.8	参考文献:p219	NDC8:210.45
子どもと授業を創る	服部潔著	明治図書出版	jpn	BN11552401		1994.7		NDC8:375
月と六ペンス	モーム著 ; 龍口直太郎訳	旺文社	jpn	BN11555895		1966	***遡及データをもとにした流用入力である。	NDC6:933
椋鳩十名作集	椋鳩十[著] ; 滑川道夫編	偕成社	jpn	BN11562835		1964.4	著者の肖像あり	NDC8:913.6
ゼロ歳児の食事 : 赤ちゃんが喜ぶ離乳食	宮本千華子料理	グラフ社	jpn	BN11600388		1994.7	監修:内藤寿七郎	NDC8:599.3
法学概論	野原重隆著	学文社	jpn	BN11614440		1969	付録日本国憲法: 巻末p1-14	NDC6:321
ウサギ・ハムスター・リスたちの医・食・住 : (モルモット・スナネズミ・マウス・チンチラ・モモンガ・プレーリードッグ)	高橋和明監修	どうぶつ出版	jpn	BN11617733		1994.11		NDC8:645.9
G(グラビティ)重力の思想 : 人はいつ悪魔の鎖=重力を解き放つのか	津田幸雄著	徳間書店	jpn	BN11621581		1994.7		NDC8:440.4
中学校国語こうすればできる観点別評価の手順 : データの集め方・判定の仕方	石田恒好,市原菊雄編	図書文化社	jpn	BN11631814		1994.8		NDC8:375.83
家畜用生物学的製剤の品質向上及び安全性確保技術の確立	農林水産省農林水産技術会議事務局編	農林水産省農林水産技術会議事務局	jpn	BN1168324X		1987.4		NDC8:649.9
光市教育の歩み		光市教育委員会	jpn	BN11700994		1982.12	遡及	
横地康国作品集	横地康国著	美術出版社	jpn	BN11766154		1984.6	おもに図  著者の肖像あり  付(1枚):Yasukuni Yokochi	NDC8:723.1
簿記論詳説	藤沼守利〔ほか〕著	創成社	jpn	BN11769447	新訂版	1991.4		NDC8:336.91
私は貝になりたい : あるBC級戦犯の叫び	加藤哲太郎著	春秋社	jpn	BN11773295		1994.10	加藤哲太郎略年譜: p218-224	NDC8:329.67
ユニフォームのわたし : 女声合唱組曲	中村千栄子=作詩 ; 磯部俶=作曲	カワイ出版	jpn	BA24193649		1980	Fro female chorus with piano	LCC:M1570
高知縣土佐郡朝倉村是調査書		高知縣農會	jpn	BN11780235		1912.3		
国文学	久松潜一著	廣文社	jpn	BN11783528		1949.12		NDC6:910.2
明治を駆けぬけた女たち	中村彰彦編著	ダイナミックセラーズ	jpn	BN11790669	[再刊]	1994		NDC8:281
坪井信道 : 洋学者	中貞夫著	弘學社	jpn	BN11797781		1943.5		NDC6:289.1
新感覚の個性派住宅	講談社編	講談社	jpn	BN11828193		1994.4		NDC8:527
「我田引鉄」の終焉 : 北海道における特定地方交通線政策の展開過程を素材として	魚住弘久著	東京大学都市行政研究会	jpn	BN11835133		1994.10		
香港・マカオ		近畿日本ツーリスト	jpn	BN11838426	初版	1991.3		NDC8:292.39
絵図でみる城下町よねざわ : 特別展図録	米沢上杉文化振興財団編	米沢市立上杉博物館	jpn	BN11842274		1992.10	展覧会カタログ	NDC8:212.5
教育ノ効果ニ關スル取調 : 未定稿	文部省 [編]	文部省	jpn	BN11845567		1904.12		NDC6:370
詔勅式 : 附御璽官印	内閣記録局	[内閣記録局]	jpn	BN11852507	[私家複製版]	1891.3	電子複写	
テレーズの約束 : バラの雨	伊従信子著	中央出版社	jpn	BN11866760		1993.9	参考文献:p249〜251 テレーズ年譜:p253〜257	NDC8:198.2235
大和民族強健法	山田雲峰講述	強健社	jpn	BN11873700		1930.5		
行政法 . 勞働運動史	渡邊宗太郎著 . 松井七郎著	通信教育協會	jpn	BN11904112		1948.1		
教育心理学	岡部彌太郎, 沢田慶輔編	東京大学出版会	jpn	BN11914546	新版第9版	1972		NDC8:371.4
経済学予備門 : 人間と経済	瀬戸弥三次著	白桃書房	jpn	BN11917839		1966		NDC8:331
兔子和狼 = うさぎとおおかみ	三潴正道,王歓編	白帝社	jpn	BN11921687		1990.10		
コナン・ドイル : 人類へのスーパーメッセージ	アイヴァン・クック編 ; 大内博訳	講談社 : 講談社インターナショナル	jpn	BN11942880		1994.11		NDC8:147
人、毒に会う : なぜ、僕らは「こわいもの」が好きなのか	山崎幹夫著	光文社	jpn	BN1203847X		1987.4		NDC8:491.59
パチャカマに落ちる陽	豊田有恒著	集英社	jpn	BN1204541X		1978.2		NDC6:913.6
治療シンポジウム記録		診療新社	jpn	BN12059345				
愛、はてしなき飛翔	藤川桂介著	角川書店	jpn	BN12066486		1985.11		NDC8:913.6
大統領の検屍官 : JFKからプレスリーまで全米No.1検屍官の極秘ファイル。	シリル・ウェクト著 ; 北沢和彦訳	徳間書店	jpn	BN12069779		1994.11	Cause of death.の翻訳	NDC8:498.94
ライディング・イン・ザ・U.S.A. : アメリカ横断自転車爆走記	芳賀雅也著	サンドケー出版局	jpn	BN12070133		1994.11		NDC8:295.3
獄窓からのラブレター : 反日革命への戦旅	黒川芳正著	新泉社	jpn	BN12073426		1985.9	関連年表:p266〜271	NDC8:309.31
脳外科におけるてんかん	石島武一, 清水弘之共著	大日本製薬	jpn	BN12076719		1987.11		
椙山の教育 : 中・高の歩み、この10年	「教育実践記録集」編集委員会編	椙山女学園中学校・高等学校	jpn	BN12080567		1991.11		NDC8:376.3
献立別代替食品早見表	庄古光治,栄養研究グループ編	医歯薬出版	jpn	BN12097912		1966.11		NDC8:498.53
紫の一本	戸田茂睡著	[出版者不明]	jpn	BN12125031		[明治期?]		NDC8:213.6
独逸前置詞応用文例	オットー・ヘルフリッチュ,足立謙吉著	南江堂	jpn	BN12128324		明43.1		NDC6:840
石川啄木讀本		河出書房	jpn	BN12132172		1955.3	石川啄木の肖像あり	NDC8:910.268
ネクタイ	婦人画報社書籍編集部編	婦人画報社	jpn	BN12135465		1988.6		NDC8:593.3
